,estacao,endereco,linha,linhaID,latitude,longitude
67, Prefeito Saladino,Praça Armando Arruda,Linha 10-Turquesa,10,-23.6383958,-46.5365613
68, Pref Celso Daniel-Abc,Rua Itambé- Santo André,Linha 10-Turquesa,10,-23.6523265,-46.5282948
69, Capuava,"Avenida Padre Manoel da Nóbrega,- Capuava",Linha 10-Turquesa,10,-23.6582323,-46.49008629999999
70, Mauá,Avenida Rio Branco,Linha 10-Turquesa,10,-23.6663332,-46.459363
71, Guapituba,Avenida Brasil,Linha 10-Turquesa,10,-23.6922562,-46.4486746
72, Ribeirão Pires,Rua Capitão José Gallo,Linha 10-Turquesa,10,-23.7137207,-46.4145885
73, Rio Grande Da Serra,Rua Guilherme Pinto Monteiro,Linha 10-Turquesa,10,-23.7450094,-46.3935083
74, Luz,"Praça da Luz, nº 1- Bom Retiro",Linha 11-Coral,11,-23.5364643,-46.63427069999999
75, Brás,Rua Domingos Paiva s/nº – Brás,Linha 11-Coral,11,-23.54498,-46.61647
76, Tatuapé,"Rua Catiguá, 174",Linha 11-Coral,11,-23.5402828,-46.5764242
77, Corinthians-Itaquera,"Rua do Contorno, 60 – Vila Campanela",Linha 11-Coral,11,-23.54218,-46.47107
78, Dom Bosco,"Rua Sábbado D’angelo, 1024",Linha 11-Coral,11,-23.5418259,-46.4481231
79, José Bonifácio,"Avenida Nagib Farah Maluf, 1500",Linha 11-Coral,11,-23.5391141,-46.4317104
80, Guaianazes,Avenida Salvador Gianetti – Guaianazes,Linha 11-Coral,11,-23.54236,-46.41555
81, Antônio Gianetti Netto,"Jardim Júlio de Carvalho, Ferraz de Vasconcelos",Linha 11-Coral,11,-23.5543808,-46.3836571
82, Ferraz De Vasconcelos,Praça da Independência – Centro,Linha 11-Coral,11,-23.54078,-46.36823
83, Poá,Rua Herculano Duarte Ribas,Linha 11-Coral,11,-23.5254219,-46.343605
84, Calmon Viana,"Avenida Brasil, 1041",Linha 11-Coral,11,-23.5254075,-46.3332552
85, Suzano,"Av. Major Pinheiros Fróes, 55",Linha 11-Coral,11,-23.4863369,-46.3464635
86, Jundiapeba,"Rua Áurea Martins dos Anjos,",Linha 11-Coral,11,-23.5428007,-46.2580727
87, Brás Cubas,"Av. Anchieta, 1355",Linha 11-Coral,11,-23.5557714,-46.6395571
88, Mogi Das Cruzes,Praça Sacadura Cabra,Linha 11-Coral,11,-23.52125,-46.19676
89, Estudantes,Rua Professor Álvaro Pavan,Linha 11-Coral,11,-23.5557714,-46.6395571
90, Brás,​​Rua Domingos Paiva s/nº – Brás,Linha 12-Safira,12,-23.54498,-46.61647
91, Tatuapé,"Rua Catiguá, 174",Linha 12-Safira,12,-23.5402828,-46.5764242
92, Engenheiro Goulart,"Av. Dr. Assis Ribeiro, 3470",Linha 12-Safira,12,-23.4980836,-46.5197635
93, Usp Leste,"Av. Dr. Assis Ribeiro, 6.081",Linha 12-Safira,12,-23.4855392,-46.5012798
94, Comendador Ermelino,"Avenida Dr. Assis Ribeiro, 8.454",Linha 12-Safira,12,-23.4851096,-46.4823367
95, São Miguel Paulista,"Rua Beraldo Marcondes, 136",Linha 12-Safira,12,-23.4905676,-46.44370199999999
96, Jardim Helena,"Rua São Gonçalo do Rio das Pedras, 1.200",Linha 12-Safira,12,-23.4927218,-46.4210883
97, Itaim Paulista,"Rua Rafael Correa da Silva, 13",Linha 12-Safira,12,-23.4939713,-46.40207400000001
98, Jardim Romano,"Rua José Alvares Moreira, 349",Linha 12-Safira,12,-23.4849241,-46.3855852
99, Eng Manoel Feio,Av. Eldorado- Vila Gepina,Linha 12-Safira,12,-23.4793072,-46.36728249999999
100, Itaquaquecetuba,"Avenida Presidente Tancredo Neves, 746",Linha 12-Safira,12,-23.4863369,-46.3464635
101, Aracaré,Rua Rio de Janeiro-Vila Miranda,Linha 12-Safira,12,-23.4998687,-46.3390746
102, Calmon Viana,"Avenida Brasil, 1041",Linha 12-Safira,12,-23.5254075,-46.3332552
103, Engenheiro Goulart,"Av. Dr. Assis Ribeiro, 3470",Linha 13-Jade,13,-23.4980836,-46.5197635
104, Guarulhos,"Av. Natália Zarif, 460",Linha 13-Jade,13,-23.4848417,-46.5454765
105, Aeroporto De Guarulhos,"Av. Marginal do Rio Baquirivu, 3300",Linha 13-Jade,13,-23.4334082,-46.4938165
